id,tweet,subtask_a,subtask_b,subtask_c
81311,tbf it is nascar for liberal s is actually quite a good description,NOT,,
16315,i will think it is significant they have not moved ahead the difficulty is that liberals over shoot and become zealous in their environmental oversight this one seems legit the wild life and fishing people are opposed and i am sure in don jrs ear and i want to go visit,NOT,,
76049,bono can go away now the s are over you sick now,OFF,TIN,IND
34682,shhh do not tell the liberals,NOT,,
21418,liberals live in fantasy land,NOT,,
10583,gt thank you you are also very pretty and kind,NOT,,
38269,go back to n vietnam,NOT,,
78637,hell no maga united states united states united states united states,NOT,,
49396,really another one holy crap wow all brought to you by the liberal s,OFF,TIN,GRP
94810,freaking casual fans say you are their favorite,NOT,,
99815,and you are a football fan too,NOT,,
93004,europeans are morons for electing people like this,OFF,TIN,GRP
83209,release the kraken wwg wga maga,NOT,,
80333,i hope so liberals heads exploding is what i am hoping for,NOT,,
12743,it is funny you are claiming gun control will help the us yet you are apparently on the south side which has been deemed chiraq lol chicago has the strictest gun laws yet the highest gun violence,NOT,,
44210,the law and order president really hates law enforcement lol maga,OFF,TIN,IND
93628,bitter barack loves a free press as long as they we are on his band wagon,NOT,,
93582,dude your sister rocks and you should be ashamed never go against the family it shows you are a little man,NOT,,
12093,i was going to ask the same thing do not know who he is,NOT,,
28988,also i do not support antifa in any way using violence or intimidation for a political message is the definition of terrorism regardless of someone s beliefs you should not incite violence on people over the belief and they should not do so over you,NOT,,
12404,sweet lawd she is beautiful,NOT,,
22940,hopefully conservatives will be welcomed in to o,NOT,,
98372,if he survived he obviously does not know anything about gun control are we sure he is a lib,NOT,,
25722,what do you mean how chelsea have kept hazard he is bloody one of chelsea key player and best in the world right now and one big club in europe what do you want more,NOT,,
13380,liberals defend islam yet know little to nothing about the ideology as a middle eastern christian i pay close attention to what the muslim people are up to,NOT,,
75563,i am pretty sure for the th time i told you all politics to the side not my fault cale is a sexual predator and jill committed stolen valor by stealing someone else military pictures saying it was her son i could care less if they are antifa or proud boys who came and,NOT,,
27701,and i meant gun control lol and oops,NOT,,
66826,congratulations for putting the nfl into the toilet,OFF,TIN,IND
54062,she is a drama queen she pulled the feel sorry for me card too because she is now a working mom give me a break,OFF,TIN,IND
69586,chicago has strict gun control laws but the highest gun violence rate detroit was owen ed by unions and is now bankrupt cali has the second highest welfare rate and is now the homeless capital of the developed world,OFF,TIN,IND
25306,you are x the trader i am lol i am screwed but i have a tight stop i will let it ride,OFF,TIN,IND
96861,gawd help us,NOT,,
82070,he is still around,NOT,,
77142,and hopeful to someday meet a classy gal that i can talk to about maga and wwg wga have yet to find having way to much fun now not to share,NOT,,
27260,anti fa lol really stretching there hee hee he is going down for obstruction of justice to o,NOT,,
59375,beto i m funded by ny and hollywood leftists but pretending to be atexan o rourke keep texas red,NOT,,
48012,time for canadians to let all liberals if no trade deal in two months no vote for any liberal mp make that our red line it makes no sense trump has been able to secure trade deals around the world but canada obvious to anyone with a brain failure is trudeau he has failed,OFF,TIN,IND
51949,y o do you think i could jump that * gestures to a dead raccoon on road * me probably y o successful jumps raccoon with her bike and i am super happy that she is kind of dead inside like me,NOT,,
73934,now that is what i call an antifa super soldier,NOT,,
24546,and i think australia has gun control and less firearm shooting s,NOT,,
97762,is not missing shit shushing face money mouth face,OFF,UNT,
11325,capitalism has killed more than that since,NOT,,
11850,if you think billionaires are truly liberal than you are the fool they are playing their part in public but if they we are truly liberals homelessness would end you are being played like a fiddle,NOT,,
75499,thank you very much she is a great performer tottori prefectural residents take proud in,NOT,,
52678,man i am glad i can make y all s day i just be saying stupid shit on the fly i is not trying i am just dumb lmao,OFF,UNT,
10642,keith did you talk about antifa amp your support,NOT,,
25145,he is hurt and no one has checked on him,OFF,TIN,GRP
80819,she is gorgeous,NOT,,
52341,i have listened to her before an have come to a conclusion she is a twit an ny times does not get any of my money,NOT,,
75289,completely agree with this the conservative government has cut taxes for the lowest earners but by making tax fair has increased tax receipts,NOT,,
50828,i like him he is cute,NOT,,
37925,these guys are only known for diverting topics only he is a pure sanghi let him bark,OFF,TIN,GRP
17166,as one canadian i would prefer he move somewhere else too many liberals up here already,NOT,,
56845,she is vile amp hateful amp just not funny she needs to stay out of the news for the next years until none of us remember how terrible a person she is,NOT,,
49493,the more this woman talks the more stupid she becomes term limits liberals,OFF,TIN,IND
99363,have you come across the wonderful she is also doing great things for inclusion,NOT,,
63849,and hillary won the election,NOT,,
85087,this is ridiculous unbelievable so this fine young man is now dead because of a stupid reason come on gun control is the solution you all so many innocent people got killed because of guns pouting face p outing face p outing face this has to stop,OFF,TIN,GRP
26257,you liberals will never see him a genuine leader as you are trying to portrait him because he did not do struggle at all and has no qualifications but just son of az ap we se to bahut ethics aur morality ko promote krty hn ppp pe aa k sary liberal s zany face,NOT,,
97508,twitter ceo says conservatives feel silence d at his heavily liberal company i wonder why may be because they are we are given examples everyday on here that pretty much anything goes if you are a liberal and not so much if your a conservative maga,NOT,,
53628,nope i will not trade him he is to much fun plus we cannot spell hope without him,NOT,,
65285,do you have any other recourse this is so wrong on so many levels can you sue the m i wish there was a way to reinforce your points on the mistreatment you have received liberals are full of hate and discontent and unfortunately there are more of them than us idiots,OFF,TIN,GRP
43009,hollywood is packed with pedophiles,OFF,TIN,GRP
96191,exactly she does not want to perjure herself since she is being nothing but a paid actress,NOT,,
29565,should have used a magnum to make a real statement and people like this teach our kids,OFF,TIN,GRP
74592,no we conservatives have not it is smoke n mirrors by establish mnt dems who are in bred demon possessed amp controlled by lucifer father of lies through soros obama clinton et al this juncture in history reversepcism is key amp rebuke them all in the name of jesus kag,NOT,,
56041,only if she is to remarry does it stop,NOT,,
52026,conservatives believe all persons of color are a priori guilty of crimes therefore when poc are denied their rights in extrajudicial killings no conservative ever questions the killing,OFF,TIN,GRP
82725,he is a very funny man is not he i suspect even he does not really believe this,NOT,,
19813,do not talk shit about laws,OFF,TIN,IND
68918,holder has a perverted view of the law not surprising since he is a democrat,OFF,TIN,OTH
33445,is that federal investigation group by chance chinese a congressional aid please respond senator as a constituent is wanting disclosure you are accountable for all you do and say do not contribute to any form of collusion obey the law,NOT,,
98197,lma oo glad you know you are one of the people i was meaning,NOT,,
62509,oh shit uhhh what ao fic is this,OFF,UNT,
50295,when will they learn people do not care about what they think about politics just read your lines and entertain us keep your stupid pins and fake tattoos and ribbons at home maga emmys,OFF,TIN,IND
53338,she is beautiful,NOT,,
76615,here is an alternative way to look at it conservatives less successful following simple instruction on an application for m,NOT,,
14468,just leave it there is not point to this the only ones who will win this war of words are raytas liberal s dravida nadu vallahs and other secessionists,NOT,,
74768,thank you your bravery is duly noted,NOT,,
67908,republicans should make stand and demand proofs of any allegations by liberal s country has wasted too much time investigating back to back false allegations by liberal s it has not left us any time to investigate their corruption s,NOT,,
21422,can somebody please put him back in his coffin,OFF,TIN,IND
62905,but the y are still the number one fake news network,OFF,TIN,OTH
98827,no he was not he scary as hell that is what he is,NOT,,
32524,fuck off,OFF,TIN,IND
78848,or lower some liberals retirement fund idea s,NOT,,
22324,here is my year old daughter s report grinning face with smiling eyes conservative as well fluffywolf,NOT,,
78309,antifa is not anti facsicm just as jim jones was no preacher that is all i am saying,NOT,,
37490,aw what that is devastating hope you are ok i love you biter,NOT,,
48660,who is the ring leader of the brain dead sheep time to turn it back on him,OFF,TIN,GRP
75794,oh yeah i am down if you are,NOT,,
99216,hypocrisy to see so called conservatives call out supposed sexual deviancy when just about every sexual political scandal in recent memory involves republicans and it is really homophobia roy moore kavanaugh jim jordan mark foley bob packwood clarence thomas donald trump,OFF,TIN,GRP
26022,boycott nfl amp nike,NOT,,
24802,he and obama cannot stand em,NOT,,
85439,and you are lol,NOT,,
96256,so she is desecrating graves with the best intentions no wonder jeremy wants her speaking he wants jewish membership to know exactly what he thinks of the m i reiterate an absolute shit of a human being no offence to ewa,NOT,,
98942,attention is publicizing an antifa target list on his account the list has high profile names and many random trump supporters names twitter has not suspended this account please help report him check out his account list s,NOT,,
88615,the book makes trump look good amp makes the so called deep state particularly mueller look like a pack of partisan hacks woodward book proves thing liberals fear trump is n amp t breaking the deep state is,NOT,,
73053,she is a keeper,NOT,,
83756,you hit them for fucking elo and the reason i am posting this is because he is thee booter expose r just shows you cannot believe everyone in this community,OFF,TIN,GRP
80322,trump s new position on gun control is starting to look a lot like the nra s via,NOT,,
51884,i sat during the levi s commercial so they know that i do not support their gun control stance,NOT,,
46664,chuck is too old to play their games he is going forward,NOT,,
48511,trump i am giving power back to the people liberal s authoritarian trump i m giving power back to the states liberal s authoritarian dems we want to control every aspect of your life liberal s that s exactly what we need,NOT,,
11455,he is painter thumbs up smiling face with heart eyes smiling face with heart eyes smiling face with heart eyes smiling face with sunglasses smiling face with sunglasses smiling face with sunglasses ok hand,NOT,,
52086,happy birthday sweetie hope your day is as awesome as you are,NOT,,
86235,peoples vote brexit stopbrexit save britain stopbrexit brexit shambles a good example of our intent we even the goverment does not like paying taxes,NOT,,
89484,he is one of those types who has no time he s a senior partner at a law firm the issues do not prevent him from driving the vehicle the y are simply annoying but i do believe that he is taking the car in next month,NOT,,
62644,india cuts iranian oil imports ahead of november deadline tcot maga rednationrising,NOT,,
60989,shut the fuck up ppp kliff i am bigger than you and gayer than you so do not try any shit,OFF,TIN,IND
41059,more votes for democrats amp let us see how many murders of conservatives just saying,OFF,TIN,GRP
67258,it never gets further that the caymans but i want to know what gives boris the right to spunk m on a folly of a bridge that was not built where is the money and what relation to him we are the people who we are paid it and why are they all now abroad no lnvestigation iniated why,OFF,TIN,IND
55432,sounds like you are a fascist,OFF,UNT,
12045,you are a moron,NOT,,
91340,btw have not heard about antifa lately since soros ran off without paying them after their violent riots across the us,NOT,,
92513,lol same to you awe how is it feel to want for the first time gimmie is that a new feeling for you has mommy kept you on the tit all these years and now you do not know how to fend for yourself,OFF,UNT,
64196,anonymous has always been a resistance tactic idea it does not matter who is leading they are an enemy since anon does not take political sides there are anons who support the idea of antifa and there are those who don t but no one speaks for the entirety of anonymous,NOT,,
61278,you are correct my old eyes do not seem to work so well any more,NOT,,
13720,josh as slave leia,OFF,TIN,IND
71448,have the vote enough delay tactics this is an allegation he is not convicted,NOT,,
38672,that is exactly what liberals and dems think about people on the right it is funny how we have been pitted against each other when really our interests are all very similar with just some nuances i am a criminal defense attorney and i fight every day to protect our bill of rights,NOT,,
39483,democrats have no laws p outing face p outing f ace p outing face,NOT,,
48096,buhari was among the past leader what did he do during he time people are keep on blame year pdp but you are talking about fix what is this government doing,NOT,,
74992,stop,NOT,,
34571,an already debunked viral hoax tell me who decides if a meme has been debunked a potentially biased human has to that is who facebook rosetta memes qanon maga,OFF,TIN,IND
11571,mcquaid is way yyyy too expensive for what he is,NOT,,
35157,you get invited to kh events because you are very active in the kingdom hearts community and because you are a super duper mega fan you are extremely lucky so embrace it,NOT,,
60491,still spewing your lies you are not good enuf to lick our president s boot straps what about the deaths in chicago u r a liar and a manipulator go vack to indonesia barry,OFF,TIN,IND
40988,he is so adorable i hope his birthday was wonderful,NOT,,
46950,rtd thank you for boosting this,NOT,,
51487,i think it is a stupid choice not to put the planting of the flag in there you are intentionally saying fu when you could be having audiences clap and cheer because of the accomplishment of the nasa team and the country s support not going to see it,NOT,,
30181,i just have to assume you are the mastermind,NOT,,
46159,ya obama on trade years ago trump is just not telling the truth how stupid could our leaders be trump god bless trump maga kag full link trump s answer,OFF,TIN,IND
91365,is this nigga really back to dying his hair times in one come back face with tears of joy face with tears of joy face with tears of joy,NOT,,
61638,he was all about bashing the iraq war but when faced with the binary choice he is pretty proud of supporting that same status quo vigorously i do not get it either,NOT,,
44637,there os no such thing as antifa,NOT,,
79023,any gun control is un constitutional and you leftist fake news traitors keep lying to the people that is why your enemies of the people,OFF,TIN,GRP
24364,speaking of fates babies i hate nina fates and that she is in feh honestly i do not get bitter about people being added but she reminds me of a real life experience and it hits close to home,NOT,,
22102,must be driving liberals crazy,OFF,TIN,GRP
14171,jacob stand there in his own garden and saw him he blushed hard amd trys to look away oh holy god he wis perd he is so sexy and good looking,NOT,,
40990,describing myself in fictional characters o ren ishii princess aura laura palmer tagging friends,NOT,,
78181,sounds like a plan,NOT,,
19346,in the conservatives cut annual funding to build social housing by bn today theresa may announced an extra bn to build social housing spread over the next years so by it will be a bn cut since instead of bn i despair,NOT,,
57462,antifa has never attacked voters by the way that is a full on lie you have the informational diet of thinking cotton candy is a vegetable you might want to reflect on that,NOT,,
56191,what bothers me is how conservatives in unison attack women who seek justice,NOT,,
37203,same kamau bell who spoke to antifa and helped incite them to riot a year ago,NOT,,
47242,f the democrats slimy bastards,OFF,TIN,OTH
82139,flake shld end his search for relevancy he is rino filled w hatred for potus despicable behavior,OFF,TIN,IND
15286,she is demented,OFF,TIN,IND
30638,hear you but do not think we are lost in the sense of defeated more like adrift of f track cannot find our way the answer is not more guns in general or teachers with guns let us start with electing leaders who support reasonable gun control and go from there,NOT,,
55270,she is indeed very cute,NOT,,
73730,he is duel citizen ok,NOT,,
14928,she is fine,NOT,,
98805,this is why i have so little time for liberals and democrats rather than allow democratic process they will deliberately attempt to subvert it to get what they want why should anyone believe the claims against kavanaugh in the face of this,NOT,,
12434,there is something wrong with my tv as when liberals are on the audio simply reverts to blah blah blah blah blah blah blah i have looked into troubleshooting but there is no fix for that as it is the source of audio amp tv circuitry cannot convert the insane bs into real words,NOT,,
35575,qanda there are women in the commons up from in as a result of thursday s general election this takes female representation in the commons to a new high overall of mps are women for labour the figure is and for the conservatives bbc,NOT,,
17618,who care s she broke into his home and shot him she is the one that needs to be held fully accountable for her actions,NOT,,
73875,did we hear from mccain from beyond as well,NOT,,
31845,i just read that whole thread and that guys thinks he is a boxing media social media sure have mess up some pp ls head rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing,OFF,TIN,IND
96149,i know liberals do not like to do research or like facts if you listened to anything over then cnn you would know this,NOT,,
90375,this makes me proud to be a resident of the city of atlanta good to see places in georgia still have character and integrity to do what is right and just amidst a state who can never seem to get that part together,NOT,,
44951,backhand index pointing down please retweet this trump nation trump train maga kag draining the deep state swamp,NOT,,
80016,that is why you never want to deal with the left democrats they have become lunatics trump derangement syndrome,OFF,TIN,IND
82002,a rich snow snowflake here,NOT,,
21116,they promoted an amendment to lower the voting age to they pushed gun control efforts and gun free zones to give criminals an edge over law abiding citizens,NOT,,
81443,active shooter middleton wi multiple police agencies respond maga trump train keep america great,NOT,,
43212,ball is in our court not yours,OFF,TIN,IND
50593,i know you are not this naive those people make up a very small of trump supporters do all liberals support terrorist and groups such as anti fa,OFF,TIN,IND
87636,why because she is female or because of your dislike of conservatives,NOT,,
52082,i will never forget what levels you racist liberals went to and what you did to clarence thomas liberals are the worst people ever,OFF,TIN,GRP
69277,what the fuck happened,OFF,TIN,OTH
48653,what are these new ideas speech laws gun control killing babies and thinking your entitled to free health c are and rich pp ls money just bc you exis,OFF,UNT,
14919,two years to hand her homework in and it is still last minute and unprepared party of business face with tears of joy rolling on the floor laughing face with tears of joy rolling on the floor laughing face with tears of joy rolling on the floor laughing cannot even cobble a contract proposal together in months would never survive in a real world business,NOT,,
99915,i do not know how they said they are not gay tho and and by liberals you mean conservatives sounds like me being upset as for why it matters if it does not matter then why go to such lengths to deny that the y are gay there is straight couples why not just let them be gay,OFF,TIN,GRP
49358,jail is too kind for a pedovore where is the prosecution ag sessions is the church getting away with pedo crimes what the hell is he holding is that a tentacle wth pedogate news,OFF,TIN,OTH
21467,you claim you read the academic piece i linked to it spells that out pretty clear do you wonder why this genre of race writing is so popular with upper upper middle class white liberal s,NOT,,
31668,pope char compares pope francis to the false prophet bingo,OFF,TIN,IND
82721,enough said,NOT,,
85160,my guess a lot of unflattering facts will come out about dr ford in days to come as a father of a daughter if some one roughed her up to the point she is claiming at she could not have hid her emotional state from her parents,NOT,,
95333,i mean it was also like the wrong setting idk it was so random,NOT,,
35139,he is as clueless as out his disgusting looks as he is about every other thing there is to know,OFF,TIN,IND
92405,gun control crowd wants gun sales to have the filed but they succeed in getting gunbroker app shut down as most gunbroker sales i would guess over are guns shipped from ffl to ffl kinda like wanting gun safety and getting ranges shut down all about control,NOT,,
72954,are you kidding this is the liberals good show,NOT,,
51110,fake ass emoji,OFF,UNT,
57228,ha ha yeah funny communists liberals destroying usa want usa like venezuela china north korea perhaps why not just move your perfect country instead of desperately trying destroy the usa that my founding fathers fought died our freedom she would blood for ungrateful communists,OFF,TIN,OTH
97281,what ad hominem he is paid by the e cigarettes industry in what universe people tend to be neutral when it gets to their paycheck get anything out there and it will be cited not everybody knows the truth about people motivations welcome to planet earth when money talks,NOT,,
12748,hypocrisymuch that is why you are an enemy to the people fake news go against political opponents and hide crimes from liberals bigstuff,OFF,TIN,IND
75966,why does kavanaugh have the same woman with resting bitchface sitting behind him every day i do not think she is helping his case,NOT,,
36701,then i see like this and lust over the girl with the long blond hair and the bare midriff and micro mini and realize she is now years older and could be a great grandmother today face screaming in fear people wonder why i love legs until i show them what i grew up with,OFF,TIN,IND
76283,thank you they all do it will be excited for all and i love i feel the broken heart for him he is such a rockstar white medium star,NOT,,
94287,first thing that comes to mind is another liberal hit job this is the damage liberals libtards are doing actual victims of sexual assault they inciting doubt in everyone s minds democrats are not a champion of woman nor minorities they covet power,NOT,,
44391,someone please call for gun control because the bengals cannot stop shooting them selfies in the foot,OFF,TIN,GRP
58295,kavanaugh is reportedly at the wh right now,NOT,,
44782,pos sive dumb ass,NOT,,
66166,dig up frankie save yourself,NOT,,
71900,she lost because she got outplayed she is disgusting for her behavior,OFF,TIN,IND
97704,what all of the m what about the terrorists anti fa farrakhan s hateful and racist thugs blm criminals black panthers those groups have no place either,OFF,TIN,GRP
35092,he is is always the victim,NOT,,
34943,joe is just singing the old liberal bullshit song and misrepresenting facts as usual,OFF,TIN,IND
74793,you are so smart rolling on the floor laughing,NOT,,
33566,bro i randomly tried this dns shit and it worked first time wtf,OFF,TIN,IND
71656,this is what conservatives think a genius looks like lmao,OFF,TIN,IND
43584,just did not look like any of the mannerisms he has exhibited glad he is in cf,NOT,,
20550,the left has a plan that is popular with liberal s their campaign platform is all free stuff for everybody all the time everyone is welcomed at all times to come to america we will support them to o where are the funds to support these plans the left does not know or care,NOT,,
93909,girl power,NOT,,
52181,as if chuck sat in on the trial for these allegations he read the same twitter feeds we did because you supposedly spoke to a therapist means nothing you could have told the therapist you dreamt it up for all we will ever know testify to it providing even a shred of evidence,NOT,,
93589,and this butt fur thinks he is a know it all,OFF,TIN,IND
58294,you ignorant fool how did you become ag i forgot it was ignorant obama it is not current occupier of white house learn from me ignorant idiot he is the president of united states if you think he is not your president then leave this country and go to hell,OFF,TIN,IND
83184,yes it did and it is on editorial is joe q the editor of x men no he is n t he is editor in chief he is the boss of all the other editors sooo he was not responsible i should not be arguing because this is stupid,OFF,TIN,IND
51563,expect blue heart yellow heart you are sparkles sparkling heart,NOT,,
85044,i think he will get decent minutes win the champions league rotation coming into affect he is much higher up the pecking order than herrera or mctomminay he is essentially the th choice for a man midfield so first option when resting or even more like today and last week,NOT,,
98517,askally please tell me something what should i do to help my mom when she is at home with a broken leg cause she is in hospital now with a broken leg loudly crying face loudly crying face loudly crying face loudly crying face,OFF,TIN,OTH
45834,or he is part of the fraud they pulled together,OFF,TIN,OTH
68634,what happened to woke is is,NOT,,
55636,the battle cry by nova scotia girl canada maga united states and the world will follow wwg wga globe showing america s globe showing europe africa globe showing asia australia redwave woman walking man walking walk away trump let freedom ring worldwide qanon,NOT,,
55512,we live in strange times with some really strange people i have never figured out hirono parents we are kamaka zee pilots she is not on our side,NOT,,
54700,maxine waters is inciting violence against conservatives thank goodness her minion s switch blade was not working and he could not get it to flip open to stab the conservative house candidate,NOT,,
51898,i am just a reality based results oriented kind of guy how it turned out is what informs my opinion not my idealistic dreams all liberals are progressive all conservatives regressive all within varying degrees relative to their location all politics is local,NOT,,
75507,of vote her butt right out of office diane feinstein is part of the problem in america not part of the solution her old ideas and clarence thomas tricks will not work this time votered kag confirm kavanaugh confirmcoachk maga,OFF,TIN,GRP
25510,you are not alone will say prayers for you hang in there,NOT,,
95662,and a half up on the phillies if you are a fan of any georgia sports you know that no lead is safe,NOT,,
79644,please help her out she is distressed,NOT,,
92522,you are beloved x,NOT,,
63146,hahahaha how lucky you are sor to witness din kakul it an live and on the spot in gg it me sir and laugh your pain ang peg ni capt barber push awards may wards,NOT,,
60741,good luck lad,NOT,,
94258,becoming what the reason for what happened,NOT,,
98739,democrats ask yourself is your party fighting for you or to keep their leader s power the party leaders only care about you as a vote not as a person conservatives elect people to represent us and if they do not we elect someone else walkaway take not e,NOT,,
35022,gop on personal responsibility he was drunk boys will be boys she was drunk slut republicans conservatives kavanaugh,OFF,TIN,IND
15556,on friday the krav maga world lost one of it is very best krzysztof szczepanski kris lost his battle with skin cancer but not without giving it the fight of it is life the world is a worse place without him and he will be sorely missed rip brother folded hands light skin tone oss,NOT,,
62844,damn right if you think any different then your part of the problem with this country thank god we have a president who puts america first instead of putting illigal aliens ahead of americans,OFF,TIN,OTH
31261,oye la please i won yesterday you are yet to credit my account oh,NOT,,
56638,bitch my life was flashing before my eyes,OFF,TIN,IND
67691,bitter liberals are so funny keep posting with anger so fun to read,NOT,,
53263,liberals have to sexualize everything,NOT,,
85090,may be we need to ban knives what do you think,NOT,,
94456,he is been trashing all along even to our allies,OFF,TIN,IND
28864,i hope so conservatives must go vote,NOT,,
46342,wherever you are in your journey try your best to appreciate even if it is not where you want to be every season serves a purpose putrajaya,NOT,,
82908,bring back coal amp asbestos maga,NOT,,
87348,assuming she is a comedian thought you had to be funny with a great sense of humor,NOT,,
50896,let me give you something your wife cannot p cum join me live now x,NOT,,
97210,people who employ fascist tactics are fascists that is what antifa does do you want me to start posting videos of antifa riots,OFF,TIN,GRP
77403,we all have concerns about the democrats disgusting behavior and disrespect for this country and our constitution of the united states and the violation of your oath to citizens and our constitution,OFF,TIN,GRP
15267,perhaps he believes as did the revolutionaries at the time of the start of our country that the people need protection from a runaway government like the one the liberals are proposing by their actions which would take away your rights,NOT,,
40574,oh fuck i forgot about poopy in my diaper pants you know me before i know myself,OFF,TIN,IND
98246,boy they are really panicking why what do they have to hide i wat to know do t you i do not recall republicans acting like this when obama put two liberals on the court,NOT,,
88808,trump chips away at liberal u s appeals court majorities maga for sure fill with constitutional conservatives,NOT,,
77181,and hypocrite flies in his private jet around the world,OFF,TIN,IND
99042,it would make sense for her to be a big character in but if she stays the way she is i really hope not lol she was making me cringe most of the movie face with tears of joy,NOT,,
48438,he is the absolute worse period that is all,OFF,TIN,IND
86117,you are the man gregg,NOT,,
77021,no my family are not maga they just do not care the y are apart of the populace who get distracted by pop culture completely they have zero idea what is going on in the world until i tell them amp even then they do not care i am a lion amongst lambs,OFF,TIN,GRP
37710,i remember back when there was the big sit in by the democrats they tried to push through gun control laws republicans responded by putting forth of their own democrats voted against everything republicans put forward instead of accepting compromise they voted against,NOT,,
72045,liberals will liberal,NOT,,
39756,pedophilia is the worst of all evil,NOT,,
96944,destined to be another bargain bin for a dollar fire starter,NOT,,
55268,i saw that this morning i hope she is doing ok bless her heart thank you,NOT,,
10592,are you pro choice are you pro aca are you for reasonable gun control where can we find your stand on issues,NOT,,
24967,homer losing his boner over this is very petty there was a resemblance but again even if she is if they are not shoving it in our face then it is okay,OFF,TIN,IND
33118,keem star said he is not paying he just wanted his sever on rust pop in i said pay him or the ooks will come for you on rust face with tears of joy,OFF,TIN,OTH
21098,i guess you did not see the ad that replaced db glad you are up on things,NOT,,
36170,abortion has always been available to those with the money to take care of the problem a matter of conscience only seems to matter when convenient for go tour piece party a conscience clearly absent when it comes to gun control,NOT,,
17308,empty headed ginger hammer,NOT,,
84652,why does ted cruz have to quote supporters in his own tweets does he have anything original and or prod cut ive to say does he have nefarious connections to and russia muellers mountain endthegop endthenra,NOT,,
26460,treasonous goverment california tries new tack on gun violence bullet control,OFF,UNT,
65334,you are so far of the mark at times you seem to be completely detached from the masses,NOT,,
67982,that is new,NOT,,
29038,contribute to their maximum capacity translation vote for guys with a criminal record like me who occasionally wear dresses and support those who disrespect the sacrifices represented by the flag,NOT,,
81929,she is so stupid it scares us average americans that she makes decisions on our behalf,OFF,TIN,IND
41706,bitch shut up cyberpunk was announced way back in and just now getting revealed get your facts straight,OFF,TIN,IND
31062,down with liberal s,OFF,TIN,OTH
10176,this is the democrat party in the throws of panic they want violence so trumps america is not quite so successful i suggest to all the little antifa kids out there do not do it it will be regrettable immediately,NOT,,
59609,just because he is in love with her does not mean she is they do not need to go there it would feel like another lf situation,NOT,,
97816,did anyone visit maxine waters discreet and watched the poverty of her on people did she did anything in the last past years that she is in power,NOT,,
66974,love it maga,NOT,,
55325,funny how the we need more gun control fanatics think they want a shooting war where are they going to go to get their free obama guns,NOT,,
62392,somebody gotta blow from here that be on that new wave for niggas to listen too,NOT,,
74224,i am th yet i still do not want to join antifa,NOT,,
78007,you are here,NOT,,
73494,a woman who assisted in the rape of a child should never see freedom period,NOT,,
69417,trudeau and liberals are incompetent to handle it,OFF,TIN,GRP
17787,real goal to make everyone in wisconsin as dumb as he is,OFF,TIN,IND
90456,yep says the same thing about everyone she hates amp warned the antifa twins not to do that,NOT,,
32325,they still making bread,NOT,,
50253,my d better now prescott booty meat smh,NOT,,
39157,oh wait i read that wrong hfjdhd so they do not know infinity war huh,NOT,,
64899,it started when those with money realized their future dreams for business could now come true by seeing your ass was on the short list,NOT,,
29281,hey nut job we are not a democracy you actually awake in high school,NOT,,
38529,well do some research and dairy and gluten allergies are major problems with mental health from anxiety and depression to bi polar and schizophrenia it is a tough diet but if you are sick of feeling like you are it is way worth it,NOT,,
76567,my world of warcraft character is named limn,NOT,,
81442,liberals ruin everything,NOT,,
43257,haley than x you know how to brighten up my shitty day face blowing a kiss,NOT,,
95856,the ironic thing is you are more closely aligned with the far right they are even agreeing with you look down the thread some asshole just posted a thing about iq in your defense fuck off with that shit,OFF,TIN,IND
85228,said florence is big and wet i fear she is about to get grabbed by the president,NOT,,
63615,no way does john lewis have to apologize to anyone he is a hero red heart red heart,NOT,,
48596,may be the cameramen is a trump supporter have you checked if he is standing on a rock or so lmao face with tears of joy fake news cnn,NOT,,
47577,please add me thank you maga,NOT,,
24154,bro they we are laughing into her face and almost pissing their pants and i was standing beside it like wtf mind ur own business,OFF,UNT,
92812,the you and your liberal s wow you do not even try do you,NOT,,
19428,times out of i have the dog on my lap and if i get to rowdy he gets scared that i am hurt then he trys to kiss me also he is a ham so when the camera comes out he is like pictures let me be in the m he photo bombs whenever possible face with tears of joy face with tears of joy dog face,NOT,,
51231,smack the shit outta her face with tears of joy face with tears of joy,OFF,TIN,IND
47129,can we remove eric holder,NOT,,
11599,rubber stamp calls for conservatives republicans who have left her sycophant party coup to keep the house laughable we do not want nancy pelosi as speaker regurgitates fbr resistance via,NOT,,
22943,tried to comment on his journalistic smear he made justice clarence thomas but for some reason he has blocked yr old christian gm other who tweets occasionally when she sees the injustice of liberals amp their msm to take every chance to attack an opposite opinion,NOT,,
48645,it crossed my mind that sheriff israel may have ordered them to stand down the democrats will use any tragedy to be in the public eye to promote gun control it is a shame that these things even came to mind but i have seen too much from the left to be surprised at anything,OFF,TIN,GRP
59296,how is the gun control working in chicago,NOT,,
80930,i heard ur cock was big and lonely,OFF,TIN,IND
76406,ohh the liberals are fighting popcorn,NOT,,
87895,the y are becoming more and more like antifa everyday,NOT,,
83744,i suggest that get a real life,NOT,,
64722,she is really tall lol,NOT,,
74440,i love how the anti gun control folks are simultaneously you cannot blame the guns when people die but also you cannot blame the cops when guns just go of f,NOT,,
16360,do not be so humble you and your liberals here on twitter do nothing but divide american s you deserve the credit,NOT,,
