text,character,text_norm,token_text_norm,POS,POS_tagged,f_measure,word_count,length,diag_act,LE_C,TS,mispelled
Well he shouldn't have.,BRADLEY,well he should n't have .,well shouldnt,RB PRP MD RB VB .,Well_RB he_PRP should_MD n't_RB have_VB ._.,10.0,5,23,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",4,1.0,1
I don't know! I'm sorry alright...It's been a really bad morning. I had to take the girls round to Max.Maybe later eh?  What about lunchtime?,TANYA,i do n't know ! i 'm sorry alright ... it 's been a really bad morning . i had to take the girls round to max.maybe later eh ? what about lunchtime ?,dont know im sorry alright really bad morning take girl round max maybe later eh lunchtime,PRP VBP RB VB . PRP VBP JJ NN . . . PRP VBZ VBN DT RB JJ NN . PRP VBD TO VB DT NNS NN TO NNP . RB RB VB . WP IN NN .,I_PRP do_VBP n't_RB know_VB !_. I_PRP 'm_VBP sorry_JJ alright_NN ._. ._. ._. It_PRP 's_VBZ been_VBN a_DT really_RB bad_JJ morning_NN ._. I_PRP had_VBD to_TO take_VB the_DT girls_NNS round_NN to_TO Max_NNP ._. Maybe_RB later_RB eh_VB ?_. What_WP about_IN lunchtime_NN ?_.,40.0,30,141,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",25,5.0,0
Yeah I noticed. I particularly enjoyed that bit.,JACK,yeah i noticed . i particularly enjoyed that bit .,yeah noticed particularly enjoyed bit,NN PRP VBD . PRP RB VBD IN NN .,Yeah_NN I_PRP noticed_VBD ._. I_PRP particularly_RB enjoyed_VBD that_IN bit_NN ._.,37.5,8,48,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",8,7.0,0
Well the authorities take a very dim view of probation officers dating their clients.,CHRISTIAN,well the authorities take a very dim view of probation officers dating their clients .,well authority take dim view probation officer dating client,RB DT NNS VBP DT RB JJ NN IN NN NNS VBG PRP$ NNS .,Well_RB the_DT authorities_NNS take_VBP a_DT very_RB dim_JJ view_NN of_IN probation_NN officers_NNS dating_VBG their_PRP$ clients_NNS ._.,64.28571428571428,14,85,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",14,9.0,0
There's one born every minute.,JANE,there 's one born every minute .,there one born every minute,EX VBZ CD NN DT NN .,There_EX 's_VBZ one_CD born_NN every_DT minute_NN ._.,66.66666666666666,6,30,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",5,2.0,0
Well he'd better be. Otherwise I'm gonna start a petition.,SHIRLEY,well he 'd better be . otherwise i 'm gon na start a petition .,well hed well otherwise im gonna start petition,RB PRP MD RB VB . NNP PRP VBP VBG TO VB DT NN .,Well_RB he_PRP 'd_MD better_RB be_VB ._. Otherwise_NNP I_PRP 'm_VBP gon_VBG na_TO start_VB a_DT petition_NN ._.,30.769230769230766,13,58,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",10,5.0,0
That's months away.,MINTY,that 's months away .,thats month away,DT VBZ NNS RB .,That_DT 's_VBZ months_NNS away_RB ._.,50.0,4,19,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",3,1.0,0
I can't trust you.,TANYA,i ca n't trust you .,cant trust,PRP MD RB VB PRP .,I_PRP ca_MD n't_RB trust_VB you_PRP ._.,10.0,5,18,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",4,0.0,0
You are one stroppy cow you ain't ya?,PHIL,you are one stroppy cow you ai n't ya ?,one stroppy cow aint ya,PRP VBP CD JJ NN PRP VBP RB VB .,You_PRP are_VBP one_CD stroppy_JJ cow_NN you_PRP ai_VBP n't_RB ya_VB ?_.,27.777777777777782,9,37,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",8,1.0,0
Have you seen it?,HEATHER,have you seen it ?,seen,VBP PRP VBN PRP .,Have_VBP you_PRP seen_VBN it_PRP ?_.,0.0,4,17,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",4,0.0,0
Come on Mint. Let's go.,GARRY,come on mint . let 's go .,come mint let go,NNP IN NNP . VB POS VB .,Come_NNP on_IN Mint_NNP ._. Let_VB 's_POS go_VB ._.,58.33333333333333,6,23,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",5,2.0,0
But --,STEVEN,but --,,CC :,But_CC --_:,50.0,1,6,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",1,0.0,0
Will you mind my stall for half an hour?,STACEY,will you mind my stall for half an hour ?,mind stall half hour,MD PRP VB PRP$ NN IN PDT DT NN .,Will_MD you_PRP mind_VB my_PRP$ stall_NN for_IN half_PDT an_DT hour_NN ?_.,61.111111111111114,9,40,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",9,0.0,0
Well you don't see blokes getting that bladdered do you?And mean how's she gonna look anyone in the eye from now on?,GARRY,well you do n't see blokes getting that bladdered do you ? and mean how 's she gon na look anyone in the eye from now on ?,well dont see bloke getting bladdered mean hows gonna look anyone eye,RB PRP VBP RB VB NNS VBG IN VBN VBP PRP . CC VB WRB POS PRP VBD TO VB NN IN DT NN IN RB IN .,Well_RB you_PRP do_VBP n't_RB see_VB blokes_NNS getting_VBG that_IN bladdered_VBN do_VBP you_PRP ?_. And_CC mean_VB how_WRB 's_POS she_PRP gon_VBD na_TO look_VB anyone_NN in_IN the_DT eye_NN from_IN now_RB on_IN ?_.,36.53846153846154,25,116,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",22,6.0,2
"Oh, don't act all innocent. I mean that's what you're getting at.. that's what you're implying",IAN,"oh , do n't act all innocent . i mean that 's what you 're getting at.. that 's what you 're implying",oh dont act innocent mean thats youre getting thats youre implying,"UH , VBP RB VB DT JJ . PRP VBP DT VBZ WP PRP VBP VBG IN . . DT VBZ WP PRP VBP VBG","Oh_UH ,_, do_VBP n't_RB act_VB all_DT innocent_JJ ._. I_PRP mean_VBP that_DT 's_VBZ what_WP you_PRP 're_VBP getting_VBG at_IN ._. ._. that_DT 's_VBZ what_WP you_PRP 're_VBP implying_VBG",23.809523809523817,21,94,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",16,6.0,0
"Ian getting hot under the collar, is he?‚",CHRISTIAN,"ian getting hot under the collar , is he ? ‚",ian getting hot collar,"NNP VBG JJ IN DT NN , VBZ PRP . VB","Ian_NNP getting_VBG hot_JJ under_IN the_DT collar_NN ,_, is_VBZ he_PRP ?_. ‚_VB",55.55555555555556,8,41,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",8,3.0,1
"That's bad news for Ben, isn't it?  Cos once I give that tape to the police, you won't be seeing him for quite a while.",JACK,"that 's bad news for ben , is n't it ? cos once i give that tape to the police , you wo n't be seeing him for quite a while .",thats bad news ben isnt co give tape police wont seeing quite,"DT VBZ JJ NN IN NNP , VBZ RB PRP . NNP RB PRP VBP DT NN TO DT NN , PRP MD RB VB VBG PRP IN RB DT NN .","That_DT 's_VBZ bad_JJ news_NN for_IN Ben_NNP ,_, is_VBZ n't_RB it_PRP ?_. Cos_NNP once_RB I_PRP give_VBP that_DT tape_NN to_TO the_DT police_NN ,_, you_PRP wo_MD n't_RB be_VB seeing_VBG him_PRP for_IN quite_RB a_DT while_NN ._.",50.0,28,119,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",25,9.0,1
She's not ugly.,HEATHER,she 's not ugly .,shes ugly,PRP VBZ RB RB .,She_PRP 's_VBZ not_RB ugly_RB ._.,0.0,4,15,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",3,1.0,0
I'm gonna ring the magazine.,HEATHER,i 'm gon na ring the magazine .,im gonna ring magazine,PRP VBP VBG TO VBG DT NN .,I_PRP 'm_VBP gon_VBG na_TO ring_VBG the_DT magazine_NN ._.,35.714285714285715,7,28,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",5,3.0,0
I'll make some coffee.,JACK,i 'll make some coffee .,ill make coffee,PRP MD VB DT NN .,I_PRP 'll_MD make_VB some_DT coffee_NN ._.,50.0,5,22,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",4,1.0,0
Straight?,TANYA,straight ?,straight,NNP .,Straight_NNP ?_.,100.0,1,9,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",1,0.0,0
I ain't going over this again.,TANYA,i ai n't going over this again .,aint going,PRP VBP RB VBG IN DT RB .,I_PRP ai_VBP n't_RB going_VBG over_IN this_DT again_RB ._.,28.571428571428577,7,30,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",6,1.0,0
Not sure me and Shirl will be making up so easily this time.,HEATHER,not sure me and shirl will be making up so easily this time .,sure shirl making easily time,RB JJ PRP CC NNP MD VB VBG RP RB RB DT NN .,Not_RB sure_JJ me_PRP and_CC Shirl_NNP will_MD be_VB making_VBG up_RP so_RB easily_RB this_DT time_NN ._.,42.30769230769231,13,60,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",13,3.0,0
"Um, look we've got an appointment. I'll talk to Ian.  Any problems give us a call.",JANE,"um , look we 've got an appointment . i 'll talk to ian . any problems give us a call .",um look weve got appointment ill talk ian problem give u call,"NNP , VBP PRP VBP VBD DT NN . PRP MD VB TO NNP . NNP NNS VBP PRP DT NN .","Um_NNP ,_, look_VBP we_PRP 've_VBP got_VBD an_DT appointment_NN ._. I_PRP 'll_MD talk_VB to_TO Ian_NNP ._. Any_NNP problems_NNS give_VBP us_PRP a_DT call_NN ._.",50.0,18,82,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",16,2.0,0
No.,IAN,no .,,DT .,No_DT ._.,100.0,1,3,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",1,0.0,0
Me neither.,TANYA,me neither .,neither,NNP DT .,Me_NNP neither_DT ._.,100.0,2,11,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",2,0.0,0
"Not hard enough.  I want you puking your guts up cos of the effort you've put into this - not standing there whinging about it. Come on, let's go again.",IAN,"not hard enough . i want you puking your guts up cos of the effort you 've put into this - not standing there whinging about it . come on , let 's go again .",hard enough want puking gut cos effort youve put standing whinging come let go,"RB RB RB . PRP VBP PRP VBG PRP$ NNS RP NN IN DT NN PRP VBP VBN IN DT : RB VBG RB VBG IN PRP . VB IN , VB POS VB RB .","Not_RB hard_RB enough_RB ._. I_PRP want_VBP you_PRP puking_VBG your_PRP$ guts_NNS up_RP cos_NN of_IN the_DT effort_NN you_PRP 've_VBP put_VBN into_IN this_DT -_: not_RB standing_VBG there_RB whinging_VBG about_IN it_PRP ._. Come_VB on_IN ,_, let_VB 's_POS go_VB again_RB ._.",32.25806451612903,31,152,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",29,6.0,1
"What's wrong, Tan? Disappointed?",MAX,"what 's wrong , tan ? disappointed ?",whats wrong tan disappointed,"WP VBZ JJ , NNP . VBN .","What_WP 's_VBZ wrong_JJ ,_, Tan_NNP ?_. Disappointed_VBN ?_.",40.0,5,32,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",4,8.0,0
He deserved it.,SEAN,he deserved it .,deserved,PRP VBD PRP .,He_PRP deserved_VBD it_PRP ._.,7.105427357601002e-15,3,15,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",3,1.0,0
"Luv, luv.  We'll take it as slow as you want.  That's why I booked it - all afternoon, all evening, no distractions.",IAN,"luv , luv . we 'll take it as slow as you want . that 's why i booked it - all afternoon , all evening , no distractions .",luv luv well take slow want thats booked afternoon evening distraction,"NNP , NN . PRP MD VB PRP RB JJ IN PRP VBP . DT VBZ WRB PRP VBD PRP : DT NN , DT NN , DT NNS .","Luv_NNP ,_, luv_NN ._. We_PRP 'll_MD take_VB it_PRP as_RB slow_JJ as_IN you_PRP want_VBP ._. That_DT 's_VBZ why_WRB I_PRP booked_VBD it_PRP -_: all_DT afternoon_NN ,_, all_DT evening_NN ,_, no_DT distractions_NNS ._.",50.0,23,116,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",21,6.0,0
Could still be bi.,CHRISTIAN,could still be bi .,could still bi,MD RB VB VBN .,Could_MD still_RB be_VB bi_VBN ._.,12.5,4,18,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",4,0.0,0
It's her favourite. It means the world to her.,ROXY,it 's her favourite . it means the world to her .,favourite mean world,PRP VBZ PRP$ NN . PRP VBZ DT NN TO PRP$ .,It_PRP 's_VBZ her_PRP$ favourite_NN ._. It_PRP means_VBZ the_DT world_NN to_TO her_PRP$ ._.,35.0,10,46,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",9,1.0,0
This looks amazing Auntie Peg. What is it?,RONNIE,this looks amazing auntie peg . what is it ?,look amazing auntie peg,DT VBZ JJ NNP NNP . WP VBZ PRP .,This_DT looks_VBZ amazing_JJ Auntie_NNP Peg_NNP ._. What_WP is_VBZ it_PRP ?_.,50.0,8,42,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",8,1.0,0
"Blimey, that ain't the Jack I know.",MAX,"blimey , that ai n't the jack i know .",blimey aint jack know,"NNP , WDT VBP RB DT NNP PRP VBP .","Blimey_NNP ,_, that_WDT ai_VBP n't_RB the_DT Jack_NNP I_PRP know_VBP ._.",50.0,8,35,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",7,2.0,0
"I've had a bad day alright. I'm on edge. Babe, what's going on with us?",MAX,"i 've had a bad day alright . i 'm on edge . babe , what 's going on with us ?",ive bad day alright im edge babe whats going u,"PRP VBP VBD DT JJ NN VBD . PRP VBP IN NN . NNP , WP VBZ VBG IN IN PRP .","I_PRP 've_VBP had_VBD a_DT bad_JJ day_NN alright_VBD ._. I_PRP 'm_VBP on_IN edge_NN ._. Babe_NNP ,_, what_WP 's_VBZ going_VBG on_IN with_IN us_PRP ?_.",44.44444444444444,18,71,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",15,2.0,0
We're leaving.,TANYA,we 're leaving .,leaving,PRP VBP VBG .,We_PRP 're_VBP leaving_VBG ._.,7.105427357601002e-15,3,14,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",2,0.0,0
"Yeah, Ian's booked a hotel on Piccadilly for Sunday night. Then in the morning we're going to walk across Green Park.",JANE,"yeah , ian 's booked a hotel on piccadilly for sunday night . then in the morning we 're going to walk across green park .",yeah ians booked hotel piccadilly sunday night morning going walk across green park,"UH , NNP POS VBD DT NN IN NNP IN NNP NN . RB IN DT NN PRP VBP VBG TO VB IN NNP NNP .","Yeah_UH ,_, Ian_NNP 's_POS booked_VBD a_DT hotel_NN on_IN Piccadilly_NNP for_IN Sunday_NNP night_NN ._. Then_RB in_IN the_DT morning_NN we_PRP 're_VBP going_VBG to_TO walk_VB across_IN Green_NNP Park_NNP ._.",65.21739130434781,23,117,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",21,6.0,0
Yeah I know you are but I've got to feel like you want me here that's all.,MAX,yeah i know you are but i 've got to feel like you want me here that 's all .,yeah know ive got feel like want thats,UH PRP VBP PRP VBP CC PRP VBP VBN TO VB IN PRP VBP PRP RB DT VBZ DT .,Yeah_UH I_PRP know_VBP you_PRP are_VBP but_CC I_PRP 've_VBP got_VBN to_TO feel_VB like_IN you_PRP want_VBP me_PRP here_RB that_DT 's_VBZ all_DT ._.,21.052631578947377,19,74,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",17,3.0,0
I take it Dot's not back.,MINTY,i take it dot 's not back .,take dot back,PRP VBP PRP NNP VBZ RB RB .,I_PRP take_VBP it_PRP Dot_NNP 's_VBZ not_RB back_RB ._.,14.285714285714292,7,25,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",6,0.0,0
We're here now...,SHIRLEY,we 're here now ...,,PRP VBP RB RB . . .,We_PRP 're_VBP here_RB now_RB ._. ._. ._.,0.0,4,17,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",3,1.0,0
I am! But I'm worried about you. You'd only had a couple of drinks and you were absolutely paralytic!,JANE,i am ! but i 'm worried about you . you 'd only had a couple of drinks and you were absolutely paralytic !,im worried youd couple drink absolutely paralytic,PRP VBP . CC PRP VBP JJ IN PRP . PRP MD RB VBD DT NN IN NNS CC PRP VBD RB JJ .,I_PRP am_VBP !_. But_CC I_PRP 'm_VBP worried_JJ about_IN you_PRP ._. You_PRP 'd_MD only_RB had_VBD a_DT couple_NN of_IN drinks_NNS and_CC you_PRP were_VBD absolutely_RB paralytic_JJ !_.,40.476190476190474,21,101,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",19,5.0,0
Need a baby-sitter?,CHRISTIAN,need a baby-sitter ?,need babysitter,VB DT NN .,Need_VB a_DT baby-sitter_NN ?_.,66.66666666666666,4,19,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",3,1.0,0
"Okay, you're hired.  For a trial period - see how we get on.",IAN,"okay , you 're hired . for a trial period - see how we get on .",okay youre hired trial period see get,"NNP , PRP VBP VBN . IN DT NN NN : VB WRB PRP VBP IN .","Okay_NNP ,_, you_PRP 're_VBP hired_VBN ._. For_IN a_DT trial_NN period_NN -_: see_VB how_WRB we_PRP get_VBP on_IN ._.",46.15384615384615,13,60,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",12,3.0,0
"Oh, I'm just glad you two have made peace.",IAN,"oh , i 'm just glad you two have made peace .",oh im glad two made peace,"UH , PRP VBP RB VBN PRP CD VBP VBN NN .","Oh_UH ,_, I_PRP 'm_VBP just_RB glad_VBN you_PRP two_CD have_VBP made_VBN peace_NN ._.",15.0,10,42,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",9,1.0,0
This isn't really my scene.,JANE,this is n't really my scene .,isnt really scene,DT VBZ RB RB PRP$ NN .,This_DT is_VBZ n't_RB really_RB my_PRP$ scene_NN ._.,33.333333333333336,6,27,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",5,3.0,1
You are beautiful.,MINTY,you are beautiful .,beautiful,PRP VBP JJ .,You_PRP are_VBP beautiful_JJ ._.,33.333333333333336,3,18,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",3,6.0,0
Oh...right. Thanks for telling me.,TANYA,oh ... right . thanks for telling me .,oh right thanks telling,UH . . . JJ . NNS IN VBG PRP .,Oh_UH ._. ._. ._. right_JJ ._. Thanks_NNS for_IN telling_VBG me_PRP ._.,50.0,6,34,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",5,2.0,0
"Er, yeah,",CLARE,"er , yeah ,",er yeah,"NNP , NN ,","Er_NNP ,_, yeah_NN ,_,",100.0,2,9,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",2,0.0,0
"She doesn't love you,",STACEY,"she does n't love you ,",doesnt love,"PRP VBZ RB VB PRP ,","She_PRP does_VBZ n't_RB love_VB you_PRP ,_,",0.0,5,21,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",4,2.0,1
Don't think so.,ROXY,do n't think so .,dont think,VBP RB VB RB .,Do_VBP n't_RB think_VB so_RB ._.,0.0,4,15,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",3,1.0,0
"It's obvious, really. Could've saved myself a lot of trouble.  What did I know? I was a kid.",CLARE,"it 's obvious , really . could 've saved myself a lot of trouble . what did i know ? i was a kid .",obvious really couldve saved lot trouble know kid,"PRP VBZ JJ , RB . NNP VBP VBN PRP DT NN IN NN . WP VBD PRP VB . PRP VBD DT NN .","It_PRP 's_VBZ obvious_JJ ,_, really_RB ._. Could_NNP 've_VBP saved_VBN myself_PRP a_DT lot_NN of_IN trouble_NN ._. What_WP did_VBD I_PRP know_VB ?_. I_PRP was_VBD a_DT kid_NN ._.",40.0,20,92,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",18,1.0,0
Oi.  Fancy a coffee?,STACEY,oi . fancy a coffee ?,oi fancy coffee,NNP . NNP DT NN .,Oi_NNP ._. Fancy_NNP a_DT coffee_NN ?_.,100.0,4,20,"[0, 0, 0, 0, 0, 1, 0, 0, 0]",4,0.0,0
How you're obsessed with your career.,MAX,how you 're obsessed with your career .,youre obsessed career,WRB PRP VBP VBN IN PRP$ NN .,How_WRB you_PRP 're_VBP obsessed_VBN with_IN your_PRP$ career_NN ._.,28.571428571428577,7,37,"[0, 0, 0, 0, 0, 1, 0, 0, 0]",6,2.0,0
He's a bad influence.,IAN,he 's a bad influence .,he bad influence,PRP VBZ DT JJ NN .,He_PRP 's_VBZ a_DT bad_JJ influence_NN ._.,60.0,5,21,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",4,0.0,0
It's just nice. Seeing you happy.,STEVEN,it 's just nice . seeing you happy .,nice seeing happy,PRP VBZ RB JJ . VBG PRP JJ .,It_PRP 's_VBZ just_RB nice_JJ ._. Seeing_VBG you_PRP happy_JJ ._.,28.571428571428577,7,33,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",6,1.0,0
Me?,ROXY,me ?,,NNP .,Me_NNP ?_.,100.0,1,3,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",1,0.0,0
Morning.,JACK,morning .,morning,NN .,Morning_NN ._.,100.0,1,8,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",1,0.0,0
This isn't on.,MAX,this is n't on .,isnt,DT VBZ RB IN .,This_DT is_VBZ n't_RB on_IN ._.,50.0,4,14,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",3,1.0,1
Bet you do -,CHRISTIAN,bet you do -,bet,NNP PRP VBP :,Bet_NNP you_PRP do_VBP -_:,33.333333333333336,3,12,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",3,1.0,0
D'you think I like any of this Stace?,SEAN,d'you think i like any of this stace ?,dyou think like stace,NNP VBP PRP VBP DT IN DT NNP .,D'you_NNP think_VBP I_PRP like_VBP any_DT of_IN this_DT Stace_NNP ?_.,62.5,9,37,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",8,1.0,1
"If Masood asks, don't forget to say thanks to him for finding you that magazine.",SHIRLEY,"if masood asks , do n't forget to say thanks to him for finding you that magazine .",masood asks dont forget say thanks finding magazine,"IN NNP NNS , VBP RB VB TO VB NNS TO PRP IN VBG PRP IN NN .","If_IN Masood_NNP asks_NNS ,_, do_VBP n't_RB forget_VB to_TO say_VB thanks_NNS to_TO him_PRP for_IN finding_VBG you_PRP that_IN magazine_NN ._.",50.0,16,80,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",15,6.0,1
Of what?,SEAN,of what ?,,IN WP .,Of_IN what_WP ?_.,50.0,2,8,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",2,0.0,0
"You say it ain't all for show, why don't we just do it, talk to each other.  Communicate.  For the kids.",MAX,"you say it ai n't all for show , why do n't we just do it , talk to each other . communicate . for the kids .",say aint show dont talk communicate kid,"PRP VBP PRP VBP RB DT IN NN , WRB VBP RB PRP RB VBP PRP , NN TO DT JJ . NNP . IN DT NNS .","You_PRP say_VBP it_PRP ai_VBP n't_RB all_DT for_IN show_NN ,_, why_WRB do_VBP n't_RB we_PRP just_RB do_VBP it_PRP ,_, talk_NN to_TO each_DT other_JJ ._. Communicate_NNP ._. For_IN the_DT kids_NNS ._.",45.652173913043484,23,104,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",21,8.0,0
Sean just came round for a chat.,TANYA,sean just came round for a chat .,sean came round chat,JJ RB VBD NN IN DT NN .,Sean_JJ just_RB came_VBD round_NN for_IN a_DT chat_NN ._.,71.42857142857142,7,32,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",7,0.0,0
How else can we get our hands on his money? He's got to believe that I want him back.,TANYA,how else can we get our hands on his money ? he 's got to believe that i want him back .,else get hand money he got believe want back,WRB RB MD PRP VB PRP$ NNS IN PRP$ NN . PRP VBZ VBD TO VB IN PRP VBP PRP RB .,How_WRB else_RB can_MD we_PRP get_VB our_PRP$ hands_NNS on_IN his_PRP$ money_NN ?_. He_PRP 's_VBZ got_VBD to_TO believe_VB that_IN I_PRP want_VBP him_PRP back_RB ._.,25.0,20,85,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",19,0.0,0
"Babe, are you genuine about this?",MAX,"babe , are you genuine about this ?",babe genuine,"NNP , VBP PRP JJ IN DT .","Babe_NNP ,_, are_VBP you_PRP genuine_JJ about_IN this_DT ?_.",66.66666666666666,6,33,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",6,4.0,0
Looks cosy.Quiet?,CLARE,looks cosy.quiet ?,look cosy quiet,NNP NN . NNP .,Looks_NNP cosy_NN ._. Quiet_NNP ?_.,100.0,3,17,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",2,0.0,0
"...I want them to start right away. Tomorrow.  Yes, I know what time it is. You're an agency, aren't you? With people on your books? Then how about opening them?",TANYA,"... i want them to start right away . tomorrow . yes , i know what time it is . you 're an agency , are n't you ? with people on your books ? then how about opening them ?",want start right away tomorrow yes know time youre agency arent people book opening,". . . PRP VBP PRP TO VB JJ RB . NNP . UH , PRP VBP WP NN PRP VBZ . PRP VBP DT NN , VBP RB PRP . IN NNS IN PRP$ NNS . RB WRB IN VBG PRP .","._. ._. ._. I_PRP want_VBP them_PRP to_TO start_VB right_JJ away_RB ._. Tomorrow_NNP ._. Yes_UH ,_, I_PRP know_VBP what_WP time_NN it_PRP is_VBZ ._. You_PRP 're_VBP an_DT agency_NN ,_, are_VBP n't_RB you_PRP ?_. With_IN people_NNS on_IN your_PRP$ books_NNS ?_. Then_RB how_WRB about_IN opening_VBG them_PRP ?_.",32.8125,32,161,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",30,2.0,1
Just... Don't push me.,TANYA,just ... do n't push me .,dont push,RB . . . VBP RB VB PRP .,Just_RB ._. ._. ._. Do_VBP n't_RB push_VB me_PRP ._.,0.0,5,22,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",4,0.0,0
Alright.  Just leave it. Stop pushing. I'll do it in me own time.,TANYA,alright . just leave it . stop pushing . i 'll do it in me own time .,alright leave stop pushing ill time,NNP . NNP VBP PRP . NNP VBG . PRP MD VB PRP IN PRP JJ NN .,Alright_NNP ._. Just_NNP leave_VBP it_PRP ._. Stop_NNP pushing_VBG ._. I_PRP 'll_MD do_VB it_PRP in_IN me_PRP own_JJ time_NN ._.,46.42857142857142,14,65,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",13,1.0,0
Eh?,TANYA,eh ?,eh,NNP .,Eh_NNP ?_.,100.0,1,3,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",1,0.0,0
No.,TANYA,no .,,DT .,No_DT ._.,100.0,1,3,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",1,0.0,0
"Excuse me. She's the one who needs to apologise.  I hope you made her realise how upset we are, Ian.",JANE,"excuse me . she 's the one who needs to apologise . i hope you made her realise how upset we are , ian .",excuse shes one need apologise hope made realise upset ian,"IN PRP . PRP VBZ DT NN WP VBZ TO VB . PRP VBP PRP VBD PRP VB WRB JJ PRP VBP , NNP .","Excuse_IN me_PRP ._. She_PRP 's_VBZ the_DT one_NN who_WP needs_VBZ to_TO apologise_VB ._. I_PRP hope_VBP you_PRP made_VBD her_PRP realise_VB how_WRB upset_JJ we_PRP are_VBP ,_, Ian_NNP ._.",26.190476190476197,21,100,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",20,8.0,0
"I'd got used to the idea of never seeing Louise again, never getting her back.    Then he comes along and dangles her in front of me.",PHIL,"i 'd got used to the idea of never seeing louise again , never getting her back . then he comes along and dangles her in front of me .",id got used idea never seeing louise never getting back come along dangles front,"PRP MD VB VBN TO DT NN IN RB VBG NNP RB , RB VBG PRP$ NN . RB PRP VBZ RB CC VBZ PRP$ IN NN IN PRP .","I_PRP 'd_MD got_VB used_VBN to_TO the_DT idea_NN of_IN never_RB seeing_VBG Louise_NNP again_RB ,_, never_RB getting_VBG her_PRP$ back_NN ._. Then_RB he_PRP comes_VBZ along_RB and_CC dangles_VBZ her_PRP$ in_IN front_NN of_IN me_PRP ._.",35.18518518518518,27,133,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",26,6.0,0
